Date,City,Temperature_C,Rainfall_mm,WindSpeed_kmh
2026-08-31,Ahvaz,60.0,0.0,49
2026-09-01,Tabriz,29.0,25.0,45
2026-09-02,Tehran,44.0,0.0,34
2026-09-03,Isfahan,46.0,0.0,29
2026-09-04,Mashhad,37.0,17.0,39
2026-09-05,Karaj,42.0,0.0,26
2026-09-06,Shiraz,55.0,0.0,22
2026-09-07,Ahvaz,61.0,0.0,50
2026-09-08,Tabriz,30.0,26.0,46
2026-09-09,Tehran,45.0,0.0,35
2026-09-10,Isfahan,47.0,0.0,30
2026-09-11,Mashhad,38.0,18.0,40
2026-09-12,Karaj,43.0,0.0,27
2026-09-13,Shiraz,56.0,0.0,23
2026-09-14,Ahvaz,62.0,0.0,51
2026-09-15,Tabriz,31.0,27.0,47
2026-09-16,Tehran,46.0,0.0,36
2026-09-17,Isfahan,48.0,0.0,31
2026-09-18,Mashhad,39.0,19.0,41
2026-09-19,Karaj,44.0,0.0,28
2026-09-20,Shiraz,57.0,0.0,24
2026-09-21,Ahvaz,63.0,0.0,52
2026-09-22,Tabriz,32.0,28.0,48
2026-09-23,Tehran,47.0,0.0,37
2026-09-24,Isfahan,49.0,0.0,32
2026-09-25,Mashhad,40.0,20.0,42
2026-09-26,Karaj,45.0,0.0,29
2026-09-27,Shiraz,58.0,0.0,25
2026-09-28,Ahvaz,64.0,0.0,53
2026-09-29,Tabriz,33.0,29.0,49
2026-09-30,Tehran,48.0,0.0,38
2026-10-01,Isfahan,50.0,0.0,33
2026-10-02,Mashhad,41.0,21.0,43
2026-10-03,Karaj,46.0,0.0,30
2026-10-04,Shiraz,59.0,0.0,26
2026-10-05,Ahvaz,65.0,0.0,54
2026-10-06,Tabriz,34.0,30.0,50
2026-10-07,Tehran,49.0,0.0,39
2026-10-08,Isfahan,51.0,0.0,34
2026-10-09,Mashhad,42.0,22.0,44
2026-10-10,Karaj,47.0,0.0,31
2026-10-11,Shiraz,60.0,0.0,27
2026-10-12,Ahvaz,66.0,0.0,55
2026-10-13,Tabriz,35.0,31.0,51
2026-10-14,Tehran,50.0,0.0,40
2026-10-15,Isfahan,52.0,0.0,35
2026-10-16,Mashhad,43.0,23.0,45
2026-10-17,Karaj,48.0,0.0,32
2026-10-18,Shiraz,61.0,0.0,28
2026-10-19,Ahvaz,67.0,0.0,56
2026-10-20,Tabriz,36.0,32.0,52
